2021-01-08 01:16:40,119: 'p'
2021-01-08 01:16:41,222: 'a'
2021-01-08 01:16:42,614: 's'
2021-01-08 01:16:43,222: 's'
2021-01-08 01:16:43,878: 'w'
2021-01-08 01:16:44,582: 'o'
2021-01-08 01:16:45,527: 'r'
2021-01-08 01:16:46,310: 'd'
2021-01-08 01:16:47,278: Key.space
2021-01-08 01:16:50,182: 'i'
2021-01-08 01:16:50,886: 's'
2021-01-08 01:16:51,626: Key.space
2021-01-08 01:16:52,406: 'p'
2021-01-08 01:16:53,110: 'a'
2021-01-08 01:16:53,862: 's'
2021-01-08 01:16:54,593: 's'
2021-01-08 01:16:56,974: 'w'
2021-01-08 01:16:57,550: 'o'
2021-01-08 01:16:57,982: 'r'
2021-01-08 01:16:58,267: 'd'
